City_ID,city,lat,lng,max_temp,Humidity,Cloudiness,Wind Speed
262,Saint George,37.1041,-113.5841,97.39,28,40,8.05
263,Gull Lake,50.1001,-108.4847,86.72,35,100,10.69
264,Arica,-18.475,-70.3042,59.23,77,0,2.3
265,Contai,21.7786,87.7536,84.25,79,100,11.65
266,Watertown,42.3709,-71.1828,75.7,84,97,1.01
267,Northam,51.0333,-4.2167,71.29,90,0,1.72
268,Paragominas,-2.9667,-47.4833,76.01,81,68,2.93
269,Liberal,37.0431,-100.921,87.03,43,72,11.83
270,Poli,-3.3333,36.8,54.18,82,48,3.91
271,Vardo,70.3705,31.1107,44.83,76,99,14.88
272,Gary,41.5934,-87.3464,84.18,61,1,8.05
273,Acapulco,16.8634,-99.8901,87.62,70,40,9.22
274,Road Town,18.4167,-64.6167,84.29,78,20,10.36
275,Bam,29.106,58.357,88.75,18,67,7.47
276,Funtua,11.5233,7.3081,71.82,88,66,8.81
277,Zirgan,53.2222,55.9185,66.45,58,21,2.86
278,Half Moon Bay,37.4636,-122.4286,98.74,62,20,19.57
279,Margherita,27.2833,95.6833,76.48,97,55,2.06
280,Contamana,-7.3333,-75.0167,68.41,95,91,1.97
281,Salihorsk,52.7876,27.5415,59.99,88,91,7.23
282,Moree,-29.4667,149.85,50.02,76,33,8.05
283,Moelv,60.9333,10.7,53.94,89,98,2.73
284,Provideniya,64.3833,-173.3,50.11,81,90,8.95
285,Wanning,18.8003,110.3967,79.75,85,99,6.04
286,Husavik,66.0449,-17.3389,52.83,84,67,3.44
287,Sitka,57.0531,-135.33,66.09,68,20,5.75
288,Acari,-15.4311,-74.6158,66.63,69,13,4.52
289,Hualmay,-11.0964,-77.6139,63.95,79,21,7.81
290,Sakaiminato,35.55,133.2333,79.38,69,51,2.66
291,Akhmeta,42.0311,45.2075,79.32,61,6,4.23
292,Batemans Bay,-35.7167,150.1833,56.1,62,45,8.95
293,Olinda,-8.0089,-34.8553,76.73,73,40,4.61
294,Cabedelo,-6.9811,-34.8339,75.87,84,11,11.77
295,Diamantino,-14.4086,-56.4461,69.21,37,0,5.3
296,Kavieng,-2.5744,150.7967,81.41,79,100,10.29
297,Boa Vista,2.8197,-60.6733,80.58,74,20,3.44
298,Torbay,47.6666,-52.7314,66.27,85,97,9.04
299,Stanceni,46.9833,25.2333,55.33,96,100,4.74
300,Puerto Leguizamo,-0.1934,-74.7819,72.5,97,43,2.44
301,Baracoa,20.3467,-74.4958,81.91,84,81,8.46
302,Upata,8.0086,-62.3989,76.19,97,88,6.6
303,Knysna,-34.0363,23.0471,53.98,87,100,7.27
304,Henties Bay,-22.116,14.2845,58.86,67,0,5.53
305,San Patricio,28.017,-97.5169,95.72,57,64,13.49
