City_ID,city,lat,lng,max temp,Humidity,Cloudiness,wind speed,Weather description,country
294,Zemio,5.0314,25.1361,69.73,94,64,3.42,light rain,CF
295,Fortuna,40.5982,-124.1573,71.85,67,20,4.0,few clouds,US
296,Coihaique,-45.5752,-72.0662,38.52,91,57,6.44,broken clouds,CL
297,Halifax,44.6453,-63.5724,71.35,79,17,1.01,light rain,CA
298,Sept-Iles,50.2001,-66.3821,66.25,75,100,1.01,overcast clouds,CA
299,Nanyuki,0.0167,37.0728,59.81,78,56,9.73,broken clouds,KE
300,Karratha,-20.7377,116.8463,69.04,40,7,10.67,clear sky,AU
301,Rabo De Peixe,37.8,-25.5833,69.31,88,40,11.5,scattered clouds,PT
302,Kochubey,44.3861,46.5825,75.58,66,100,11.3,overcast clouds,RU
303,Komsomolskiy,40.4272,71.7189,74.62,26,0,2.26,clear sky,UZ
304,Puerto Baquerizo Moreno,-0.9,-89.6,72.25,77,99,10.98,overcast clouds,EC
305,Ambon,-3.6954,128.1814,77.94,87,100,8.81,light rain,ID
306,Pathankot,32.2833,75.65,83.8,68,11,4.16,few clouds,IN
307,Paragominas,-2.9667,-47.4833,81.21,57,45,3.51,scattered clouds,BR
308,Aljezur,37.3191,-8.8033,63.45,88,0,13.33,clear sky,PT
309,Lidkoping,58.5052,13.1577,62.91,60,1,2.06,clear sky,SE
310,Espinosa,-14.9261,-42.8192,73.33,34,51,8.3,broken clouds,BR
311,Honningsvag,70.9821,25.9704,45.43,84,100,32.66,overcast clouds,NO
312,Tatarsk,55.219,75.9828,64.18,63,1,3.58,clear sky,RU
313,Leningradskiy,69.3833,178.4167,40.46,77,65,9.73,broken clouds,RU
314,Los Llanos De Aridane,28.6585,-17.9182,69.55,90,20,17.27,few clouds,ES
315,Richards Bay,-28.783,32.0377,60.49,61,69,17.16,light rain,ZA
316,Tynne,50.6015,26.1849,61.75,65,100,4.23,overcast clouds,UA
317,Ostrovnoy,68.0531,39.5131,41.95,95,100,22.55,overcast clouds,RU
318,Smirnykh,49.75,142.8333,69.84,93,96,3.06,overcast clouds,RU
319,Wah,33.798,72.6957,86.0,46,3,9.08,clear sky,PK
320,Port Lincoln,-34.7333,135.8667,52.65,69,15,21.47,few clouds,AU
321,Trinidad,-14.8333,-64.9,91.38,43,20,6.91,few clouds,BO
322,Porto Novo,6.4965,2.6036,76.03,78,16,8.81,few clouds,BJ
323,Talavera,15.6167,120.9333,75.76,97,100,2.91,overcast clouds,PH
324,Rockland,41.1668,-74.0496,83.73,56,77,5.97,broken clouds,US
325,Khandyga,62.6667,135.6,62.4,78,100,3.09,light rain,RU
326,Esna,25.2934,32.554,90.66,22,0,8.21,clear sky,EG
327,Bradford,53.7939,-1.7521,64.54,68,75,9.22,broken clouds,GB
328,Vila Velha,-20.3297,-40.2925,69.48,61,0,3.96,clear sky,BR
329,Katsuura,35.1333,140.3,81.1,83,0,1.39,clear sky,JP
330,Hobyo,5.3505,48.5268,76.93,84,17,30.65,few clouds,SO
331,Port Hardy,50.6996,-127.4199,59.18,88,90,4.61,overcast clouds,CA
332,Lalmohan,22.3384,90.7419,82.36,86,100,23.58,moderate rain,BD
333,Tessalit,20.1986,1.0114,87.33,43,56,19.98,broken clouds,ML
334,Hamilton,39.1834,-84.5333,87.89,54,8,1.01,clear sky,US
335,Sri Aman,1.2376,111.4621,74.57,97,100,0.78,overcast clouds,MY
336,Qaqortoq,60.7167,-46.0333,57.7,69,2,4.45,clear sky,GL
337,Alghero,40.5589,8.3181,77.09,69,0,2.3,clear sky,IT
338,Uyskoye,54.3775,60.0047,59.04,94,100,5.73,light rain,RU
339,Motihari,26.65,84.9167,82.4,79,30,17.98,scattered clouds,IN
340,Dillon,34.4166,-79.3712,92.25,40,0,8.12,clear sky,US
341,Poum,-20.2333,164.0167,71.49,77,10,8.32,clear sky,NC
342,Santa Rosa,14.3122,121.1114,80.91,95,100,16.69,light rain,PH
343,Lorengau,-2.0226,147.2712,80.38,82,26,6.33,light rain,PG
344,Lopukhiv,48.3653,23.9638,58.3,95,98,3.0,overcast clouds,UA
345,Ahipara,-35.1667,173.1667,52.32,83,3,3.15,clear sky,NZ
346,Kelso,46.1468,-122.9084,84.43,42,1,4.61,clear sky,US
