City_ID,city,country,max temp,Weather description,lat,lng,Hotel Name
647,Khromtau,KZ,69.91,overcast clouds,50.2503,58.4347,Придорожный сервис Кең Дала
648,Ust-Koksa,RU,55.87,broken clouds,50.2696,85.6108,Uymonskaya Dolina
651,Yelabuga,RU,62.15,clear sky,55.7613,52.0649,"Мини-отель ""Blackberry"""
653,Necochea,AR,51.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
658,Lagoa Formosa,BR,68.02,few clouds,-18.7786,-46.4075,Lagoa Hotel
664,Cunha,BR,54.36,clear sky,-23.0744,-44.9597,Pousada Calu
666,Sambava,MG,67.46,clear sky,-14.2667,50.1667,Melrose
670,Kosonsoy,UZ,70.36,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
671,Hualmay,PE,66.0,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
672,Kargasok,RU,62.38,clear sky,59.0556,80.8572,Hotel Kargasok
673,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
677,Klyuchi,RU,68.92,scattered clouds,52.2667,79.1667,Vesolaya Mayovka
678,Stornoway,GB,60.93,broken clouds,58.2093,-6.3865,Caladh Inn
680,Turinsk,RU,61.39,overcast clouds,58.0458,63.696,hotel Arthur
685,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
686,Krasnoshchekovo,RU,62.98,overcast clouds,51.6708,82.7289,Viro гостиница
688,Mosjoen,NO,52.32,broken clouds,65.836,13.1908,Fru Haugans Hotel
690,Port-Cartier,CA,65.93,overcast clouds,50.0334,-66.8654,Le Q'Artier
695,Lesnikovo,RU,63.46,overcast clouds,55.2822,65.3175,Detskiy Ozdorovitel'nyy Lager' Zerkal'nyy
696,Avaton,GR,74.35,clear sky,40.9667,24.8,Rustic Guesthouse - Premium apartments
698,Comachuen,MX,62.69,scattered clouds,19.6167,-101.9,Parador Turístico Sevina
699,Grindavik,IS,54.55,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
700,Capao Da Canoa,BR,59.99,clear sky,-29.7456,-50.0097,Hotel Araçá
706,Pokhara,NP,73.76,moderate rain,28.2333,83.9833,Butterfly Lodge
707,Nabire,ID,74.43,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
